Nom Complet;Email;Téléphone;Restaurant;Plateforme
Client 1;xxx@yahoo.fr;601020304;Restaurant 1;Plateforme 1
Client 2;xxx@hotmail.fr;601020305;Restaurant 2;Plateforme 2
Client 3;xxx@outlook.fr;601020306;Restaurant 3;Plateforme 3
Client 4;xxx@hoya.com;601020307;Restaurant 3;Plateforme 4
Client 5;xxx@live.fr;601020308;Restaurant 2;Plateforme 5
Client 6;xxx@icloud.com;601020309;Restaurant 1;Plateforme 2
Client 7;xxx@gmail.com;601020310;Restaurant 1;Plateforme 2
Client 8;xxx@yahoo.fr;601020311;Restaurant 2;Plateforme 3
Client 9;xxx@hotmail.fr;601020312;Restaurant 3;Plateforme 1
Client 10;xxx@outlook.fr;601020313;Restaurant 3;Plateforme 5
Client 11;xxx@hoya.com;601020314;Restaurant 2;Plateforme 4
Client 12;xxx@live.fr;601020315;Restaurant 1;Plateforme 1
Client 13;xxx@icloud.com;601020316;Restaurant 2;Plateforme 2
Client 14;xxx@gmail.com;601020317;Restaurant 3;Plateforme 3
Client 15;xxx@yahoo.fr;601020318;Restaurant 2;Plateforme 4
Client 16;xxx@hotmail.fr;601020319;Restaurant 2;Plateforme 5
Client 17;xxx@outlook.fr;601020320;Restaurant 1;Plateforme 2
Client 18;xxx@hoya.com;601020321;Restaurant 1;Plateforme 2
Client 19;xxx@live.fr;601020322;Restaurant 1;Plateforme 3
Client 20;xxx@icloud.com;601020323;Restaurant 2;Plateforme 1
Client 21;xxx@gmail.com;601020324;Restaurant 3;Plateforme 5
Client 22;xxx@yahoo.fr;601020325;Restaurant 1;Plateforme 4
Client 23;xxx@hotmail.fr;601020326;Restaurant 2;Plateforme 1
Client 24;xxx@outlook.fr;601020327;Restaurant 3;Plateforme 2
Client 25;xxx@hoya.com;601020328;Restaurant 1;Plateforme 3
Client 26;xxx@live.fr;601020329;Restaurant 2;Plateforme 4
Client 27;xxx@icloud.com;601020330;Restaurant 3;Plateforme 5
Client 28;xxx@gmail.com;601020331;Restaurant 1;Plateforme 2
Client 29;xxx@yahoo.fr;601020332;Restaurant 2;Plateforme 2
Client 30;xxx@hotmail.fr;601020333;Restaurant 3;Plateforme 3
Client 31;xxx@outlook.fr;601020334;Restaurant 3;Plateforme 1
Client 32;xxx@hoya.com;601020335;Restaurant 2;Plateforme 5
Client 33;xxx@live.fr;601020336;Restaurant 1;Plateforme 4
Client 34;xxx@icloud.com;601020337;Restaurant 2;Plateforme 1
Client 35;xxx@gmail.com;601020338;Restaurant 3;Plateforme 2
Client 36;xxx@yahoo.fr;601020339;Restaurant 2;Plateforme 3
Client 37;xxx@hotmail.fr;601020340;Restaurant 2;Plateforme 4
Client 38;xxx@outlook.fr;601020341;Restaurant 1;Plateforme 5
Client 39;xxx@hoya.com;601020342;Restaurant 1;Plateforme 2
Client 40;xxx@live.fr;601020343;Restaurant 1;Plateforme 2
Client 41;xxx@icloud.com;601020344;Restaurant 2;Plateforme 3
Client 42;xxx@gmail.com;601020345;Restaurant 3;Plateforme 1
Client 43;xxx@yahoo.fr;601020346;Restaurant 1;Plateforme 5
Client 44;xxx@hotmail.fr;601020347;Restaurant 2;Plateforme 4
Client 45;xxx@outlook.fr;601020348;Restaurant 3;Plateforme 1
Client 46;xxx@hoya.com;601020349;Restaurant 1;Plateforme 2
Client 47;xxx@live.fr;601020350;Restaurant 2;Plateforme 3
Client 48;xxx@icloud.com;601020351;Restaurant 3;Plateforme 4
Client 49;xxx@gmail.com;601020352;Restaurant 1;Plateforme 5
Client 50;xxx@yahoo.fr;601020353;Restaurant 2;Plateforme 2
Client 51;xxx@hotmail.fr;601020354;Restaurant 3;Plateforme 2
Client 52;xxx@outlook.fr;601020355;Restaurant 3;Plateforme 3
Client 53;xxx@hoya.com;601020356;Restaurant 2;Plateforme 1
Client 54;xxx@live.fr;601020357;Restaurant 1;Plateforme 5
Client 55;xxx@icloud.com;601020358;Restaurant 2;Plateforme 4
Client 56;xxx@gmail.com;601020359;Restaurant 3;Plateforme 1
Client 57;xxx@yahoo.fr;601020360;Restaurant 2;Plateforme 2
Client 58;xxx@hotmail.fr;601020361;Restaurant 2;Plateforme 3
Client 59;xxx@outlook.fr;601020362;Restaurant 1;Plateforme 4
Client 60;xxx@hoya.com;601020363;Restaurant 1;Plateforme 5
Client 61;xxx@live.fr;601020364;Restaurant 1;Plateforme 2
Client 62;xxx@icloud.com;601020365;Restaurant 2;Plateforme 2
Client 63;xxx@gmail.com;601020366;Restaurant 3;Plateforme 3
Client 64;xxx@yahoo.fr;601020367;Restaurant 1;Plateforme 1
Client 65;xxx@hotmail.fr;601020368;Restaurant 2;Plateforme 5
Client 66;xxx@outlook.fr;601020369;Restaurant 3;Plateforme 4
Client 67;xxx@hoya.com;601020370;Restaurant 1;Plateforme 1
Client 68;xxx@live.fr;601020371;Restaurant 2;Plateforme 2
Client 69;xxx@icloud.com;601020372;Restaurant 3;Plateforme 3
Client 70;xxx@gmail.com;601020373;Restaurant 1;Plateforme 4
Client 71;xxx@yahoo.fr;601020374;Restaurant 2;Plateforme 5
Client 72;xxx@hotmail.fr;601020375;Restaurant 3;Plateforme 2
Client 73;xxx@outlook.fr;601020376;Restaurant 3;Plateforme 2
Client 74;xxx@hoya.com;601020377;Restaurant 2;Plateforme 3
Client 75;xxx@live.fr;601020378;Restaurant 1;Plateforme 1
Client 76;xxx@icloud.com;601020379;Restaurant 2;Plateforme 5
Client 77;xxx@gmail.com;601020380;Restaurant 3;Plateforme 4
Client 78;xxx@yahoo.fr;601020381;Restaurant 2;Plateforme 1
Client 79;xxx@hotmail.fr;601020382;Restaurant 2;Plateforme 2
Client 80;xxx@outlook.fr;601020383;Restaurant 1;Plateforme 3
Client 81;xxx@hoya.com;601020384;Restaurant 1;Plateforme 4
Client 82;xxx@live.fr;601020385;Restaurant 1;Plateforme 5
Client 83;xxx@icloud.com;601020386;Restaurant 2;Plateforme 2
Client 84;xxx@gmail.com;601020387;Restaurant 3;Plateforme 2
Client 85;xxx@yahoo.fr;601020388;Restaurant 1;Plateforme 3
Client 86;xxx@hotmail.fr;601020389;Restaurant 2;Plateforme 1
Client 87;xxx@outlook.fr;601020390;Restaurant 3;Plateforme 5
Client 88;xxx@hoya.com;601020391;Restaurant 1;Plateforme 4
Client 89;xxx@live.fr;601020392;Restaurant 2;Plateforme 1
Client 90;xxx@icloud.com;601020393;Restaurant 3;Plateforme 2
Client 91;xxx@gmail.com;601020394;Restaurant 1;Plateforme 3
Client 92;xxx@yahoo.fr;601020395;Restaurant 2;Plateforme 4
Client 93;xxx@hotmail.fr;601020396;Restaurant 3;Plateforme 5
Client 94;xxx@outlook.fr;601020397;Restaurant 3;Plateforme 2
Client 95;xxx@hoya.com;601020398;Restaurant 2;Plateforme 2
Client 96;xxx@live.fr;601020399;Restaurant 1;Plateforme 3
Client 97;xxx@icloud.com;601020400;Restaurant 2;Plateforme 1
Client 98;xxx@gmail.com;601020401;Restaurant 3;Plateforme 5
Client 99;xxx@yahoo.fr;601020402;Restaurant 2;Plateforme 4
Client 100;xxx@hotmail.fr;601020403;Restaurant 2;Plateforme 1
Client 101;xxx@outlook.fr;601020404;Restaurant 1;Plateforme 2
Client 102;xxx@hoya.com;601020405;Restaurant 1;Plateforme 3
Client 103;xxx@live.fr;601020406;Restaurant 1;Plateforme 4
Client 104;xxx@icloud.com;601020407;Restaurant 2;Plateforme 5
Client 105;xxx@gmail.com;601020408;Restaurant 3;Plateforme 2
Client 106;xxx@yahoo.fr;601020409;Restaurant 1;Plateforme 2
Client 107;xxx@hotmail.fr;601020410;Restaurant 2;Plateforme 3
Client 108;xxx@outlook.fr;601020411;Restaurant 3;Plateforme 1
Client 109;xxx@hoya.com;601020412;Restaurant 1;Plateforme 5
Client 110;xxx@live.fr;601020413;Restaurant 2;Plateforme 4
Client 111;xxx@icloud.com;601020414;Restaurant 3;Plateforme 1
Client 112;xxx@gmail.com;601020415;Restaurant 1;Plateforme 2
Client 113;xxx@yahoo.fr;601020416;Restaurant 2;Plateforme 3
Client 114;xxx@hotmail.fr;601020417;Restaurant 3;Plateforme 4
Client 115;xxx@outlook.fr;601020418;Restaurant 3;Plateforme 5
Client 116;xxx@hoya.com;601020419;Restaurant 2;Plateforme 2
Client 117;xxx@live.fr;601020420;Restaurant 1;Plateforme 2
Client 118;xxx@icloud.com;601020421;Restaurant 2;Plateforme 3
